id,species,observed_on,place_guess,location,user,latitude,longitude,sex,life_stage,url,year
51791354,Northern Diamondback Terrapin,2020-07-03,"New Jersey, US","39.3769750427,-74.4758301605",margateterrapin,39.3769750427,-74.4758301605,female,adult,https://www.inaturalist.org/observations/51791354,2020
50429454,Northern Diamondback Terrapin,2020-06-21,"New Jersey, US","39.2877314965,-74.4645746242",maggiegoldenberg,39.2877314965,-74.4645746242,female,adult,https://www.inaturalist.org/observations/50429454,2020
51119127,Northern Diamondback Terrapin,2020-06-27,"New Jersey, US","39.3988335777,-74.4165987785",ddbaker,39.3988335777,-74.4165987785,female,,https://www.inaturalist.org/observations/51119127,2020
51107907,Northern Diamondback Terrapin,2020-06-27,"New Jersey, US","39.6743136989,-74.3914449066",jaburger,39.6743136989,-74.3914449066,female,,https://www.inaturalist.org/observations/51107907,2020
51965182,Northern Diamondback Terrapin,2020-07-04,"New Jersey, US","39.1919292536,-74.6906593433",lauren0c,39.1919292536,-74.6906593433,female,adult,https://www.inaturalist.org/observations/51965182,2020
50881437,Northern Diamondback Terrapin,2020-06-25,"New Jersey, US","39.4471708036,-74.29103802",cstipicevic,39.4471708036,-74.29103802,female,,https://www.inaturalist.org/observations/50881437,2020
51103586,Northern Diamondback Terrapin,2020-06-27,"New Jersey, US","39.7368631309,-74.3613218684",jaburger,39.7368631309,-74.3613218684,female,,https://www.inaturalist.org/observations/51103586,2020
51587170,Northern Diamondback Terrapin,2020-07-01,"New Jersey, US","39.304391198,-74.5530727936",d8nia,39.304391198,-74.5530727936,female,adult,https://www.inaturalist.org/observations/51587170,2020
50411872,Northern Diamondback Terrapin,2020-06-18,"New Jersey, US","39.7771646371,-74.0434859485",bradynichols,39.7771646371,-74.0434859485,female,,https://www.inaturalist.org/observations/50411872,2020
51005773,Northern Diamondback Terrapin,2020-06-26,"New Jersey, US","39.7752190168,-74.3850972274",bradynichols,39.7752190168,-74.3850972274,female,,https://www.inaturalist.org/observations/51005773,2020
51602506,Northern Diamondback Terrapin,2020-07-01,"New Jersey, US","39.7486191931,-74.2246499276",lrburger,39.7486191931,-74.2246499276,female,,https://www.inaturalist.org/observations/51602506,2020
49115035,Northern Diamondback Terrapin,2020-06-10,United States,"38.8864167805,-74.8239808883",jimharlan,38.8864167805,-74.8239808883,female,adult,https://www.inaturalist.org/observations/49115035,2020
50882468,Northern Diamondback Terrapin,2020-06-25,"New Jersey, US","39.5951717887,-74.2477144414",cstipicevic,39.5951717887,-74.2477144414,female,,https://www.inaturalist.org/observations/50882468,2020
50100016,Northern Diamondback Terrapin,2020-06-18,"New Jersey, US","39.0187954357,-74.8901087328",erin_allison,39.0187954357,-74.8901087328,female,adult,https://www.inaturalist.org/observations/50100016,2020
50701600,Northern Diamondback Terrapin,2020-06-21,"New Jersey, US","39.5750333689,-74.4145506202",wildlander,39.5750333689,-74.4145506202,female,adult,https://www.inaturalist.org/observations/50701600,2020
50701693,Northern Diamondback Terrapin,2020-06-21,"New Jersey, US","39.5963362504,-74.5875564213",wildlander,39.5963362504,-74.5875564213,female,,https://www.inaturalist.org/observations/50701693,2020
49040398,Northern Diamondback Terrapin,2020-06-09,"New Jersey, US","39.3052342241,-74.4605683531",delaneyspano,39.3052342241,-74.4605683531,female,adult,https://www.inaturalist.org/observations/49040398,2020
49042334,Northern Diamondback Terrapin,2020-06-09,"New Jersey, US","39.2545894924,-74.4471692944",delaneyspano,39.2545894924,-74.4471692944,female,adult,https://www.inaturalist.org/observations/49042334,2020
50414241,Diamondback Terrapin,2020-06-21,"New Jersey, US","39.2554463181,-74.5006492236",maggiegoldenberg,39.2554463181,-74.5006492236,female,,https://www.inaturalist.org/observations/50414241,2020
50415124,Diamondback Terrapin,2020-06-21,"New Jersey, US","39.3291760227,-74.4111013897",maggiegoldenberg,39.3291760227,-74.4111013897,female,,https://www.inaturalist.org/observations/50415124,2020
50419916,Diamondback Terrapin,2020-06-21,"New Jersey, US","39.3485857765,-74.5960363528",maggiegoldenberg,39.3485857765,-74.5960363528,female,adult,https://www.inaturalist.org/observations/50419916,2020
50571963,Diamondback Terrapin,2020-06-22,"New Jersey, US","39.2211542709,-74.5652803878",turtlewatch,39.2211542709,-74.5652803878,female,adult,https://www.inaturalist.org/observations/50571963,2020
50880372,Diamondback Terrapin,2020-06-25,"New Jersey, US","39.4811517188,-74.245062124",cstipicevic,39.4811517188,-74.245062124,female,,https://www.inaturalist.org/observations/50880372,2020
50891795,Diamondback Terrapin,2020-06-25,"New Jersey, US","39.7702398672,-74.2444026287",laurenhalloran,39.7702398672,-74.2444026287,female,,https://www.inaturalist.org/observations/50891795,2020
50994843,Diamondback Terrapin,2020-06-26,"New Jersey, US","39.5032642784,-74.2968704963",sharlener,39.5032642784,-74.2968704963,female,,https://www.inaturalist.org/observations/50994843,2020
51102877,Northern Diamondback Terrapin,2020-06-27,"New Jersey, US","39.7287232898,-74.209925399",jaburger,39.7287232898,-74.209925399,female,,https://www.inaturalist.org/observations/51102877,2020
51105477,Northern Diamondback Terrapin,2020-06-27,"New Jersey, US","39.6264954045,-74.388225402",lrburger,39.6264954045,-74.388225402,female,,https://www.inaturalist.org/observations/51105477,2020
51107406,Northern Diamondback Terrapin,2020-06-27,"New Jersey, US","39.7075774222,-74.3341500893",jaburger,39.7075774222,-74.3341500893,female,,https://www.inaturalist.org/observations/51107406,2020
51110195,Northern Diamondback Terrapin,2020-06-27,"New Jersey, US","39.6261894555,-74.3527798296",jaburger,39.6261894555,-74.3527798296,female,,https://www.inaturalist.org/observations/51110195,2020
51110278,Northern Diamondback Terrapin,2020-06-27,"New Jersey, US","39.7900996622,-74.3866440992",jaburger,39.7900996622,-74.3866440992,female,,https://www.inaturalist.org/observations/51110278,2020
51111515,Northern Diamondback Terrapin,2020-06-27,"New Jersey, US","39.6243480888,-74.378255552",jaburger,39.6243480888,-74.378255552,female,,https://www.inaturalist.org/observations/51111515,2020
51112383,Northern Diamondback Terrapin,2020-06-27,"New Jersey, US","39.7350776594,-74.2557770785",jaburger,39.7350776594,-74.2557770785,female,,https://www.inaturalist.org/observations/51112383,2020
51112530,Northern Diamondback Terrapin,2020-06-27,"New Jersey, US","39.6746455952,-74.3969015498",lrburger,39.6746455952,-74.3969015498,female,,https://www.inaturalist.org/observations/51112530,2020
51114341,Northern Diamondback Terrapin,2020-06-27,"New Jersey, US","39.6950749001,-74.2119586228",lrburger,39.6950749001,-74.2119586228,female,,https://www.inaturalist.org/observations/51114341,2020
51117737,Northern Diamondback Terrapin,2020-06-27,"New Jersey, US","39.3588470201,-74.5175553289",ddbaker,39.3588470201,-74.5175553289,female,,https://www.inaturalist.org/observations/51117737,2020
51120085,Diamondback Terrapin,2020-06-27,"New Jersey, US","39.33557738,-74.4336988418",ddbaker,39.33557738,-74.4336988418,female,,https://www.inaturalist.org/observations/51120085,2020
51123711,Diamondback Terrapin,2020-06-27,"New Jersey, US","39.3587344481,-74.5419459115",ddbaker,39.3587344481,-74.5419459115,female,,https://www.inaturalist.org/observations/51123711,2020
51245173,Northern Diamondback Terrapin,2020-06-28,"New Jersey, US","39.743142843,-74.2595060883",lrburger,39.743142843,-74.2595060883,female,,https://www.inaturalist.org/observations/51245173,2020
51376462,Northern Diamondback Terrapin,2020-06-29,"New Jersey, US","39.6684331793,-74.2552291369",jaburger,39.6684331793,-74.2552291369,female,,https://www.inaturalist.org/observations/51376462,2020
51606504,Northern Diamondback Terrapin,2020-07-01,"New Jersey, US","39.5509456517,-74.2280746374",lrburger,39.5509456517,-74.2280746374,female,,https://www.inaturalist.org/observations/51606504,2020
51697321,Northern Diamondback Terrapin,2020-07-02,"New Jersey, US","39.7106338579,-74.3280555623",jaburger,39.7106338579,-74.3280555623,female,adult,https://www.inaturalist.org/observations/51697321,2020
51697484,Northern Diamondback Terrapin,2020-07-02,"New Jersey, US","39.6366098508,-74.3497974447",jaburger,39.6366098508,-74.3497974447,female,adult,https://www.inaturalist.org/observations/51697484,2020
51697978,Northern Diamondback Terrapin,2020-07-02,"New Jersey, US","39.6602846761,-74.3111082844",jaburger,39.6602846761,-74.3111082844,female,,https://www.inaturalist.org/observations/51697978,2020
51698055,Northern Diamondback Terrapin,2020-07-02,"New Jersey, US","39.7242460175,-74.2195829911",lrburger,39.7242460175,-74.2195829911,female,adult,https://www.inaturalist.org/observations/51698055,2020
51698103,Northern Diamondback Terrapin,2020-07-02,"New Jersey, US","39.7378426747,-74.2089594209",jaburger,39.7378426747,-74.2089594209,female,,https://www.inaturalist.org/observations/51698103,2020
51698367,Northern Diamondback Terrapin,2020-07-02,"New Jersey, US","39.6552820543,-74.351114033",jaburger,39.6552820543,-74.351114033,female,,https://www.inaturalist.org/observations/51698367,2020
51700426,Northern Diamondback Terrapin,2020-07-02,"New Jersey, US","39.7653127131,-74.3460145254",jaburger,39.7653127131,-74.3460145254,female,,https://www.inaturalist.org/observations/51700426,2020
51700704,Northern Diamondback Terrapin,2020-07-02,"New Jersey, US","39.7992567875,-74.3399632104",jaburger,39.7992567875,-74.3399632104,female,,https://www.inaturalist.org/observations/51700704,2020
51700721,Northern Diamondback Terrapin,2020-07-02,"New Jersey, US","39.7023680961,-74.3796429536",jaburger,39.7023680961,-74.3796429536,female,,https://www.inaturalist.org/observations/51700721,2020
51703426,Northern Diamondback Terrapin,2020-07-02,"New Jersey, US","39.5125567959,-74.3389314508",jaburger,39.5125567959,-74.3389314508,female,adult,https://www.inaturalist.org/observations/51703426,2020
51703512,Northern Diamondback Terrapin,2020-07-02,"New Jersey, US","39.4843031815,-74.2951122059",lrburger,39.4843031815,-74.2951122059,female,adult,https://www.inaturalist.org/observations/51703512,2020
51794989,Northern Diamondback Terrapin,2020-07-03,"New Jersey, US","39.387927934,-74.4891970168",mlrp,39.387927934,-74.4891970168,female,adult,https://www.inaturalist.org/observations/51794989,2020
