id,species,observed_on,place_guess,location,user,latitude,longitude,sex,life_stage,url,year
44638081,Mud Fiddler Crab,2020-05-02,"Galloway, NJ, USA","39.462215,-74.4502429483",brianwhite,39.462215,-74.4502429483,female,adult,https://www.inaturalist.org/observations/44638081,2020
60185060,Mud Fiddler Crab,2020-09-08,"E Lilly Lake Rd, Galloway, NJ, US","39.4646384251,-74.4482760136",nearctic,39.4646384251,-74.4482760136,female,,https://www.inaturalist.org/observations/60185060,2020
58730396,Mud Fiddler Crab,2020-09-05,"Galloway, NJ, USA","39.4709789094,-74.4215679745",dmkidwell,39.4709789094,-74.4215679745,female,,https://www.inaturalist.org/observations/58730396,2020
58956384,Mud Fiddler Crab,2020-09-04,"E Lilly Lake Rd, Galloway, NJ, US","39.4632831182,-74.4486503915",rebecca238,39.4632831182,-74.4486503915,female,,https://www.inaturalist.org/observations/58956384,2020
44638081,Mud Fiddler Crab,2020-05-02,"Galloway, NJ, USA","39.462215,-74.4502429483",brianwhite,39.462215,-74.4502429483,male,adult,https://www.inaturalist.org/observations/44638081,2020
60185060,Mud Fiddler Crab,2020-09-08,"E Lilly Lake Rd, Galloway, NJ, US","39.4646384251,-74.4482760136",nearctic,39.4646384251,-74.4482760136,male,,https://www.inaturalist.org/observations/60185060,2020
58730396,Mud Fiddler Crab,2020-09-05,"Galloway, NJ, USA","39.4709789094,-74.4215679745",dmkidwell,39.4709789094,-74.4215679745,male,,https://www.inaturalist.org/observations/58730396,2020
58956384,Mud Fiddler Crab,2020-09-04,"E Lilly Lake Rd, Galloway, NJ, US","39.4632831182,-74.4486503915",rebecca238,39.4632831182,-74.4486503915,male,,https://www.inaturalist.org/observations/58956384,2020
75689441,Mud Fiddler Crab,2021-04-29,"Cape May County, US-NJ, US","38.996485087,-74.9558517353",melissalaurino,38.996485087,-74.9558517353,female,,https://www.inaturalist.org/observations/75689441,2021
80501668,Mud Fiddler Crab,2021-05-27,"Stone Harbor, NJ 08247, USA","39.0593989722,-74.773712",rchlyle,39.0593989722,-74.773712,female,adult,https://www.inaturalist.org/observations/80501668,2021
97211272,Mud Fiddler Crab,2021-10-04,"1075 Stone Harbor Blvd, Stone Harbor, NJ 08247, USA","39.0604868,-74.7731307",peggyo,39.0604868,-74.7731307,female,adult,https://www.inaturalist.org/observations/97211272,2021
75689441,Mud Fiddler Crab,2021-04-29,"Cape May County, US-NJ, US","38.996485087,-74.9558517353",melissalaurino,38.996485087,-74.9558517353,male,,https://www.inaturalist.org/observations/75689441,2021
80501668,Mud Fiddler Crab,2021-05-27,"Stone Harbor, NJ 08247, USA","39.0593989722,-74.773712",rchlyle,39.0593989722,-74.773712,male,adult,https://www.inaturalist.org/observations/80501668,2021
97211272,Mud Fiddler Crab,2021-10-04,"1075 Stone Harbor Blvd, Stone Harbor, NJ 08247, USA","39.0604868,-74.7731307",peggyo,39.0604868,-74.7731307,male,adult,https://www.inaturalist.org/observations/97211272,2021
137419713,Mud Fiddler Crab,2022-09-20,"Sandy Hook, Middletown Township, NJ, USA","40.4273949456,-73.9869163413",soilsflutterby,40.4273949456,-73.9869163413,female,adult,https://www.inaturalist.org/observations/137419713,2022
129717960,Mud Fiddler Crab,2022-06-26,"Middle Township, NJ, USA","39.0590259168,-74.7731135529",jlayman,39.0590259168,-74.7731135529,female,adult,https://www.inaturalist.org/observations/129717960,2022
133808305,Mud Fiddler Crab,2022-09-05,"Galloway, NJ, USA","39.4625246844,-74.4494948457",kdstutzman,39.4625246844,-74.4494948457,female,,https://www.inaturalist.org/observations/133808305,2022
132167998,Mud Fiddler Crab,2022-08-23,"Galloway, NJ, USA","39.4627903382,-74.4488501921",dan764,39.4627903382,-74.4488501921,female,adult,https://www.inaturalist.org/observations/132167998,2022
137419713,Mud Fiddler Crab,2022-09-20,"Sandy Hook, Middletown Township, NJ, USA","40.4273949456,-73.9869163413",soilsflutterby,40.4273949456,-73.9869163413,male,adult,https://www.inaturalist.org/observations/137419713,2022
129717960,Mud Fiddler Crab,2022-06-26,"Middle Township, NJ, USA","39.0590259168,-74.7731135529",jlayman,39.0590259168,-74.7731135529,male,adult,https://www.inaturalist.org/observations/129717960,2022
133808305,Mud Fiddler Crab,2022-09-05,"Galloway, NJ, USA","39.4625246844,-74.4494948457",kdstutzman,39.4625246844,-74.4494948457,male,,https://www.inaturalist.org/observations/133808305,2022
132167998,Mud Fiddler Crab,2022-08-23,"Galloway, NJ, USA","39.4627903382,-74.4488501921",dan764,39.4627903382,-74.4488501921,male,adult,https://www.inaturalist.org/observations/132167998,2022
186883433,Mud Fiddler Crab,2023-10-09,"Stone Harbor, NJ 08247, USA","39.0586285997,-74.7740983",droidwrestler,39.0586285997,-74.7740983,female,adult,https://www.inaturalist.org/observations/186883433,2023
176998631,Mud Fiddler Crab,2023-08-06,"Union Beach, NJ 07735, USA","40.443376,-74.1584576",cris720,40.443376,-74.1584576,female,,https://www.inaturalist.org/observations/176998631,2023
182563257,Mud Fiddler Crab,2023-08-31,"1075 Stone Harbor Blvd, Stone Harbor, NJ 08247, USA","39.0604868,-74.7731307",soilsflutterby,39.0604868,-74.7731307,female,,https://www.inaturalist.org/observations/182563257,2023
186230100,Mud Fiddler Crab,2023-10-04,"Upper New York Bay, Jersey City, NJ, US","40.6956765304,-74.0680839866",juan1269,40.6956765304,-74.0680839866,female,adult,https://www.inaturalist.org/observations/186230100,2023
186883395,Mud Fiddler Crab,2023-10-09,"Stone Harbor, NJ 08247, USA","39.0586273997,-74.7740983997",droidwrestler,39.0586273997,-74.7740983997,female,adult,https://www.inaturalist.org/observations/186883395,2023
163997517,Mud Fiddler Crab,2023-05-26,"E Lilly Lake Rd, Galloway, NJ, US","39.4629583333,-74.4488366667",turtless,39.4629583333,-74.4488366667,female,,https://www.inaturalist.org/observations/163997517,2023
167915213,Mud Fiddler Crab,2023-06-11,"New Jersey, US","39.3873330573,-75.0172234677",dinospine,39.3873330573,-75.0172234677,female,adult,https://www.inaturalist.org/observations/167915213,2023
161588127,Mud Fiddler Crab,2023-05-11,"Cape May County, US-NJ, US","39.1795001169,-74.9795069198",dinospine,39.1795001169,-74.9795069198,female,adult,https://www.inaturalist.org/observations/161588127,2023
157751485,Mud Fiddler Crab,2023-04-05,"Cape May, NJ, US","39.0941144585,-74.8955617684",jlayman,39.0941144585,-74.8955617684,female,adult,https://www.inaturalist.org/observations/157751485,2023
154876417,Mud Fiddler Crab,2023-04-14,Island Beach State Park ,"39.7951101326,-74.0997073902",sweiss243,39.7951101326,-74.0997073902,female,,https://www.inaturalist.org/observations/154876417,2023
175932634,Mud Fiddler Crab,2023-07-31,"Gateway National Recreation Area, Atlantic Highlands, NJ, US","40.450305,-74.0025638833",alexkessock,40.450305,-74.0025638833,male,,https://www.inaturalist.org/observations/175932634,2023
186883433,Mud Fiddler Crab,2023-10-09,"Stone Harbor, NJ 08247, USA","39.0586285997,-74.7740983",droidwrestler,39.0586285997,-74.7740983,male,adult,https://www.inaturalist.org/observations/186883433,2023
176998631,Mud Fiddler Crab,2023-08-06,"Union Beach, NJ 07735, USA","40.443376,-74.1584576",cris720,40.443376,-74.1584576,male,,https://www.inaturalist.org/observations/176998631,2023
182563257,Mud Fiddler Crab,2023-08-31,"1075 Stone Harbor Blvd, Stone Harbor, NJ 08247, USA","39.0604868,-74.7731307",soilsflutterby,39.0604868,-74.7731307,male,,https://www.inaturalist.org/observations/182563257,2023
186230100,Mud Fiddler Crab,2023-10-04,"Upper New York Bay, Jersey City, NJ, US","40.6956765304,-74.0680839866",juan1269,40.6956765304,-74.0680839866,male,adult,https://www.inaturalist.org/observations/186230100,2023
186883395,Mud Fiddler Crab,2023-10-09,"Stone Harbor, NJ 08247, USA","39.0586273997,-74.7740983997",droidwrestler,39.0586273997,-74.7740983997,male,adult,https://www.inaturalist.org/observations/186883395,2023
163997517,Mud Fiddler Crab,2023-05-26,"E Lilly Lake Rd, Galloway, NJ, US","39.4629583333,-74.4488366667",turtless,39.4629583333,-74.4488366667,male,,https://www.inaturalist.org/observations/163997517,2023
