id,species,observed_on,place_guess,location,user,latitude,longitude,sex,life_stage,url,year
65427006,Atlantic Menhaden,2020-11-22,"Gold Coast, Lyndhurst, NJ, US","40.781795,-74.1019666667",tesgeorge,40.781795,-74.1019666667,female,adult,https://www.inaturalist.org/observations/65427006,2020
65340799,Atlantic Menhaden,2020-07-01,"River Rd, Edgewater, NJ, US","40.827655,-73.97158833",tesgeorge,40.827655,-73.97158833,female,adult,https://www.inaturalist.org/observations/65340799,2020
65341374,Atlantic Menhaden,2020-07-01,"Grand Cove Way, Edgewater, NJ, US","40.8221299972,-73.9743061263",tesgeorge,40.8221299972,-73.9743061263,female,adult,https://www.inaturalist.org/observations/65341374,2020
65427006,Atlantic Menhaden,2020-11-22,"Gold Coast, Lyndhurst, NJ, US","40.781795,-74.1019666667",tesgeorge,40.781795,-74.1019666667,male,adult,https://www.inaturalist.org/observations/65427006,2020
65340799,Atlantic Menhaden,2020-07-01,"River Rd, Edgewater, NJ, US","40.827655,-73.97158833",tesgeorge,40.827655,-73.97158833,male,adult,https://www.inaturalist.org/observations/65340799,2020
65341374,Atlantic Menhaden,2020-07-01,"Grand Cove Way, Edgewater, NJ, US","40.8221299972,-73.9743061263",tesgeorge,40.8221299972,-73.9743061263,male,adult,https://www.inaturalist.org/observations/65341374,2020
173478889,Atlantic Menhaden,2021-09-23,"Atlantic City, NJ, USA","39.3768695447,-74.4157538956",fiskar,39.3768695447,-74.4157538956,female,,https://www.inaturalist.org/observations/173478889,2021
67491178,Atlantic Menhaden,2021-01-02,"Lyndhurst, NJ, USA","40.7833339684,-74.103893428",juan_sphex,40.7833339684,-74.103893428,female,adult,https://www.inaturalist.org/observations/67491178,2021
67491179,Atlantic Menhaden,2021-01-02,"Lyndhurst, NJ, USA","40.7833254363,-74.1038799288",juan_sphex,40.7833254363,-74.1038799288,female,adult,https://www.inaturalist.org/observations/67491179,2021
83856680,Atlantic Menhaden,2021-06-20,"Sandy Hook, Middletown Township, NJ, USA","40.4488979722,-74.0021716111",otofrog,40.4488979722,-74.0021716111,female,adult,https://www.inaturalist.org/observations/83856680,2021
80021294,Atlantic Menhaden,2021-05-23,"Villas, NJ 08251, USA","39.0504249046,-74.9276731163",erin_allison,39.0504249046,-74.9276731163,female,adult,https://www.inaturalist.org/observations/80021294,2021
72215066,Atlantic Menhaden,2021-03-27,"Sandy Hook, Middletown Township, NJ, USA","40.4508564789,-74.002187702",swampythings,40.4508564789,-74.002187702,female,adult,https://www.inaturalist.org/observations/72215066,2021
173478889,Atlantic Menhaden,2021-09-23,"Atlantic City, NJ, USA","39.3768695447,-74.4157538956",fiskar,39.3768695447,-74.4157538956,male,,https://www.inaturalist.org/observations/173478889,2021
67491178,Atlantic Menhaden,2021-01-02,"Lyndhurst, NJ, USA","40.7833339684,-74.103893428",juan_sphex,40.7833339684,-74.103893428,male,adult,https://www.inaturalist.org/observations/67491178,2021
67491179,Atlantic Menhaden,2021-01-02,"Lyndhurst, NJ, USA","40.7833254363,-74.1038799288",juan_sphex,40.7833254363,-74.1038799288,male,adult,https://www.inaturalist.org/observations/67491179,2021
83856680,Atlantic Menhaden,2021-06-20,"Sandy Hook, Middletown Township, NJ, USA","40.4488979722,-74.0021716111",otofrog,40.4488979722,-74.0021716111,male,adult,https://www.inaturalist.org/observations/83856680,2021
80021294,Atlantic Menhaden,2021-05-23,"Villas, NJ 08251, USA","39.0504249046,-74.9276731163",erin_allison,39.0504249046,-74.9276731163,male,adult,https://www.inaturalist.org/observations/80021294,2021
72215066,Atlantic Menhaden,2021-03-27,"Sandy Hook, Middletown Township, NJ, USA","40.4508564789,-74.002187702",swampythings,40.4508564789,-74.002187702,male,adult,https://www.inaturalist.org/observations/72215066,2021
126987177,Atlantic Menhaden,2022-07-19,"Nacote Creek, Port Republic, NJ, US","39.5162416667,-74.495645",zakqaryroy,39.5162416667,-74.495645,female,,https://www.inaturalist.org/observations/126987177,2022
104191430,Atlantic Menhaden,2022-01-02,"Gateway National Recreation Area - Sandy Hook, Atlantic Highlands, NJ, US","40.464205,-74.0066",tesgeorge,40.464205,-74.0066,female,adult,https://www.inaturalist.org/observations/104191430,2022
126987177,Atlantic Menhaden,2022-07-19,"Nacote Creek, Port Republic, NJ, US","39.5162416667,-74.495645",zakqaryroy,39.5162416667,-74.495645,male,,https://www.inaturalist.org/observations/126987177,2022
104191430,Atlantic Menhaden,2022-01-02,"Gateway National Recreation Area - Sandy Hook, Atlantic Highlands, NJ, US","40.464205,-74.0066",tesgeorge,40.464205,-74.0066,male,adult,https://www.inaturalist.org/observations/104191430,2022
189987169,Atlantic Menhaden,2023-11-04,"Ocean City, NJ, USA","39.2585827387,-74.6154405437",h_456,39.2585827387,-74.6154405437,female,,https://www.inaturalist.org/observations/189987169,2023
189987169,Atlantic Menhaden,2023-11-04,"Ocean City, NJ, USA","39.2585827387,-74.6154405437",h_456,39.2585827387,-74.6154405437,male,,https://www.inaturalist.org/observations/189987169,2023
256389839,Atlantic Menhaden,2024-09-13,"Cape May, NJ, USA","38.9285698,-74.933531",upupa-epops,38.9285698,-74.933531,female,adult,https://www.inaturalist.org/observations/256389839,2024
255425238,Atlantic Menhaden,2024-05-19,"Cape May County, NJ, USA","38.9646987585,-74.9655049657",bcur155,38.9646987585,-74.9655049657,female,adult,https://www.inaturalist.org/observations/255425238,2024
222586704,Atlantic Menhaden,2024-06-13,"Wills Hole Thoroughfare, Point Pleasant Beach, NJ, US","40.1006471667,-74.0494611667",zakqaryroy,40.1006471667,-74.0494611667,female,,https://www.inaturalist.org/observations/222586704,2024
